,i,j,Lon,Lat,SL,UC,Code,Error
26581908,3109,2939,103.616666666667,-7.95,28.0362578524007,24.2484824706355,13,212
26581909,3110,2939,103.65,-7.95,27.9220461855866,24.4356527745027,13,212
26581910,3111,2939,103.683333333333,-7.95,27.5617828505147,24.4346122697788,13,212
26581911,3112,2939,103.716666666667,-7.95,27.2894234167062,24.4007566072878,13,212
26581912,3113,2939,103.75,-7.95,27.1918310751681,24.464621433032,13,212
26581913,3114,2939,103.783333333333,-7.95,27.1642115686397,24.6945109562138,13,212
26581914,3115,2939,103.816666666667,-7.95,27.5606407312872,25.1112469475645,13,212
26581915,3116,2939,103.85,-7.95,28.3386653824873,25.6613700068851,13,212
26581916,3117,2939,103.883333333333,-7.95,29.356690480294,26.3598008130352,13,212
26581917,3118,2939,103.916666666667,-7.95,30.6024994645153,27.1145688636931,13,212
26581918,3119,2939,103.95,-7.95,31.6999192108,27.6079097366432,13,212
26581919,3120,2939,103.983333333333,-7.95,32.2516752713584,27.6077867125978,13,212
26581920,3121,2939,104.016666666667,-7.95,31.8955583167565,27.0571453474392,13,212
26581921,3122,2939,104.05,-7.95,30.6396213330746,26.0993288581276,13,212
26581922,3123,2939,104.083333333333,-7.95,29.0273873047444,25.0053677211226,13,212
26581923,3124,2939,104.116666666667,-7.95,27.509947280783,23.9498916783121,13,212
26581924,3125,2939,104.15,-7.95,26.1326376578409,22.9693196123714,13,212
26581925,3126,2939,104.183333333333,-7.95,24.8574548117419,22.011198978536,13,212
26581926,3127,2939,104.216666666667,-7.95,23.8213178722871,21.1141336858506,13,212
26581927,3128,2939,104.25,-7.95,23.0419195780351,20.3274632705136,13,212
26581928,3129,2939,104.283333333333,-7.95,22.3352914501273,19.6406460694532,13,212
26581929,3130,2939,104.316666666667,-7.95,21.7660861233,19.1301350200677,13,212
26581930,3131,2939,104.35,-7.95,21.4680862505825,18.8401526009399,13,212
26581931,3132,2939,104.383333333333,-7.95,21.4805823655237,18.8265507034447,13,212
26581932,3133,2939,104.416666666667,-7.95,21.5003584738105,18.880317634836,13,212
26581933,3134,2939,104.45,-7.95,20.9630830190597,18.435655483318,13,212
26581934,3135,2939,104.483333333333,-7.95,19.6721886207358,17.3035019478679,13,212
26581935,3136,2939,104.516666666667,-7.95,17.9451750552561,15.843186651899,13,212
26581936,3137,2939,104.55,-7.95,15.9676815215492,14.1841442141506,13,212
26581937,3138,2939,104.583333333333,-7.95,13.9724411763855,12.4599359842007,13,212
26581938,3139,2939,104.616666666667,-7.95,12.4396707429311,11.0926976286096,13,212
26581939,3140,2939,104.65,-7.95,11.5423351728254,10.2392286031354,13,212
26581940,3141,2939,104.683333333333,-7.95,11.0599177167148,9.7108161436681,13,212
26581941,3142,2939,104.716666666667,-7.95,10.8425978017706,9.4197474152164,13,212
26581942,3143,2939,104.75,-7.95,10.8053868511172,9.3189467351729,13,212
26581943,3144,2939,104.783333333333,-7.95,11.0150113446154,9.427525890019,13,212
26581944,3145,2939,104.816666666667,-7.95,11.4486325607095,9.7009191564151,13,212
26581945,3146,2939,104.85,-7.95,11.9358879663134,10.0269760365545,13,212
26581946,3147,2939,104.883333333333,-7.95,12.1095260199095,10.1744467649678,13,212
26581947,3148,2939,104.916666666667,-7.95,11.1998613286213,9.3768379561338,13,212
26581948,3149,2939,104.95,-7.95,9.1039494276956,7.413368141239,13,212
26581949,3150,2939,104.983333333333,-7.95,6.1607237336429,4.6357338128734,13,212
26581950,3151,2939,105.016666666667,-7.95,2.6389055713263,1.357246933017,13,212
26581951,3152,2939,105.05,-7.95,-0.769416786624998,-1.7840219272891,13,212
26581952,3153,2939,105.083333333333,-7.95,-3.4380449671644,-4.2378427438959,13,212
26581953,3154,2939,105.116666666667,-7.95,-5.3157347744907,-5.9205420402302,13,212
26581954,3155,2939,105.15,-7.95,-6.5869497784076,-7.0157069568375,13,212
26581955,3156,2939,105.183333333333,-7.95,-7.5371554642861,-7.9053567851587,13,212
26581956,3157,2939,105.216666666667,-7.95,-8.1013406285911,-8.6238145431207,13,212
26581957,3158,2939,105.25,-7.95,-8.1556935569296,-8.938760140186,13,212
26581958,3159,2939,105.283333333333,-7.95,-8.4577295719917,-9.1644520903942,13,212
26581959,3160,2939,105.316666666667,-7.95,-9.7966431408247,-9.7488734235165,13,212
26581960,3161,2939,105.35,-7.95,-11.6955473138507,-10.7327968131584,13,212
26581961,3162,2939,105.383333333333,-7.95,-13.4382788120548,-11.9341563958444,13,212
26581962,3163,2939,105.416666666667,-7.95,-15.152256372901,-13.4066688106554,13,212
26581963,3164,2939,105.45,-7.95,-17.2400341534599,-15.3931245825106,13,212
26581964,3165,2939,105.483333333333,-7.95,-19.5308282926463,-17.6058496150385,13,212
26581965,3166,2939,105.516666666667,-7.95,-21.2267838795092,-19.2723690511278,13,212
26581966,3167,2939,105.55,-7.95,-21.7130942682111,-19.7129838256221,13,212
26581967,3168,2939,105.583333333333,-7.95,-21.1840314929884,-19.0638690097149,13,212
26581968,3169,2939,105.616666666667,-7.95,-20.2895220792342,-18.011146139433,13,212
26581969,3170,2939,105.65,-7.95,-19.5187033537096,-17.0620312460449,13,212
26581970,3171,2939,105.683333333333,-7.95,-18.8795892543125,-16.277841716905,13,212
26581971,3172,2939,105.716666666667,-7.95,-18.1298542574593,-15.432791682405,13,212
26581972,3173,2939,105.75,-7.95,-17.5131857951765,-14.6996973764676,13,212
26581973,3174,2939,105.783333333333,-7.95,-17.3471158628413,-14.4111153590228,13,212
26581974,3175,2939,105.816666666667,-7.95,-17.7681100404968,-14.6674198098083,13,212
26581975,3176,2939,105.85,-7.95,-19.0160457919299,-15.63348297515,13,212
26581976,3177,2939,105.883333333333,-7.95,-21.270036825128,-17.6308928065824,13,212
26581977,3178,2939,105.916666666667,-7.95,-24.2585528593178,-20.427425839707,13,212
26581978,3179,2939,105.95,-7.95,-27.7389739619947,-23.6845408198073,13,212
26581979,3180,2939,105.983333333333,-7.95,-31.3190706153284,-27.0401582197688,13,212
26581980,3181,2939,106.016666666667,-7.95,-34.7433886332238,-30.2524714918316,13,212
26581981,3182,2939,106.05,-7.95,-38.0072976351106,-33.1994290367706,13,212
26581982,3183,2939,106.083333333333,-7.95,-40.5909980737973,-35.4112863613867,13,212
26581983,3184,2939,106.116666666667,-7.95,-42.1172376834564,-36.6450092762966,13,212
26581984,3185,2939,106.15,-7.95,-42.9618717350649,-37.1959000906532,13,212
26581985,3186,2939,106.183333333333,-7.95,-43.7224157000633,-37.6111164000946,13,212
26581986,3187,2939,106.216666666667,-7.95,-45.2554918142364,-38.7587652386924,13,212
26581987,3188,2939,106.25,-7.95,-48.0646154118469,-41.1592673059227,13,212
26581988,3189,2939,106.283333333333,-7.95,-52.0118825802525,-44.7446283715564,13,212
26581989,3190,2939,106.316666666667,-7.95,-56.2332033083301,-48.646446278961,13,212
26581990,3191,2939,106.35,-7.95,-60.3310036508398,-52.5277056193029,13,212
26581991,3192,2939,106.383333333333,-7.95,-64.3044374370357,-56.488790222969,13,212
26581992,3193,2939,106.416666666667,-7.95,-67.6043919109802,-59.9712749511799,13,212
26581993,3194,2939,106.45,-7.95,-70.5604124697949,-63.2292873793195,13,212
26581994,3195,2939,106.483333333333,-7.95,-74.1118603660016,-67.1384572650132,13,212
26581995,3196,2939,106.516666666667,-7.95,-78.2801970608117,-71.812793280883,13,212
26581996,3197,2939,106.55,-7.95,-82.9672319885358,-77.0465721875306,13,212
26581997,3198,2939,106.583333333333,-7.95,-87.5283718573998,-82.0288663655311,13,212
26581998,3199,2939,106.616666666667,-7.95,-91.2330462348177,-86.0141056702363,13,212
26581999,3200,2939,106.65,-7.95,-94.3432591584383,-89.1028492079575,13,212
