,i,j,Lon,Lat,SL,UC,Code,Error
27338402,3603,2869,120.083333333333,-5.61666666666667,-15.8080028916421,-17.7212524645147,13,212
27338403,3604,2869,120.116666666667,-5.61666666666667,-16.6959719835729,-18.6025633445254,13,212
27338404,3605,2869,120.15,-5.61666666666667,-20.594599775734,-20.9816265476947,13,212
27338405,3606,2869,120.183333333333,-5.61666666666667,-27.1923985129183,-24.7079099416429,13,212
27338406,3607,2869,120.216666666667,-5.61666666666667,-34.3367730655094,-29.3325688872125,13,212
27338407,3608,2869,120.25,-5.61666666666667,-41.119040807564,-34.470556616103,13,212
27338408,3609,2869,120.283333333333,-5.61666666666667,-47.690440343785,-39.7620623061369,13,212
27338409,3610,2869,120.316666666667,-5.61666666666667,-54.1313175842668,-44.822601453733,13,212
27338410,3611,2869,120.35,-5.61666666666667,-59.7388166135237,-49.2325597113831,13,212
27338411,3612,2869,120.383333333333,-5.61666666666667,-64.0260709933342,-52.4982107151139,13,212
27338412,3613,2869,120.416666666667,-5.61666666666667,-66.6911390491353,-54.2879885470618,13,212
27338413,3614,2869,120.45,-5.61666666666667,-67.5746609150326,-54.7107691708925,13,212
27338414,3615,2869,120.483333333333,-5.61666666666667,-67.1474927856912,-54.1186157422727,13,212
27338415,3616,2869,120.516666666667,-5.61666666666667,-65.9051854922026,-52.7205691826486,13,212
27338416,3617,2869,120.55,-5.61666666666667,-63.8684473529551,-50.4748203308029,13,212
27338417,3618,2869,120.583333333333,-5.61666666666667,-60.7795426713837,-47.2004063333999,13,212
27338418,3619,2869,120.616666666667,-5.61666666666667,-56.1250550856248,-42.7156970077592,13,212
27338419,3620,2869,120.65,-5.61666666666667,-49.4006455775999,-37.0857019747281,13,212
27338420,3621,2869,120.683333333333,-5.61666666666667,-41.0032479880049,-30.7228795513145,13,212
27338421,3622,2869,120.716666666667,-5.61666666666667,-32.2191040723874,-24.1111904593944,13,212
27338422,3623,2869,120.75,-5.61666666666667,-23.6956754443916,-17.5910413246963,13,212
27338423,3624,2869,120.783333333333,-5.61666666666667,-15.526307361413,-11.4523002761855,13,212
27338424,3625,2869,120.816666666667,-5.61666666666667,-8.37193009689437,-6.01317387131433,13,212
27338425,3626,2869,120.85,-5.61666666666667,-2.57329082460578,-1.28431696655509,13,212
27338426,3627,2869,120.883333333333,-5.61666666666667,2.2184105429415,2.9070115552628,13,212
27338427,3628,2869,120.916666666667,-5.61666666666667,6.0183169096708,6.3621992159264,13,212
27338428,3629,2869,120.95,-5.61666666666667,9.1784438277868,9.2386510115948,13,212
27338429,3630,2869,120.983333333333,-5.61666666666667,12.7827028484249,12.35205805218,13,212
27338430,3631,2869,121.016666666667,-5.61666666666667,17.0335460027088,15.9283164229305,13,212
27338431,3632,2869,121.05,-5.61666666666667,21.0866696916224,19.3954683179113,13,212
27338432,3633,2869,121.083333333333,-5.61666666666667,24.5751210016036,22.4189441564567,13,212
27338433,3634,2869,121.116666666667,-5.61666666666667,27.7490021059125,25.0690568974787,13,212
27338434,3635,2869,121.15,-5.61666666666667,30.5455182005366,27.3141192196462,13,212
27338435,3636,2869,121.183333333333,-5.61666666666667,32.7622024479314,29.0867901821363,13,212
27338436,3637,2869,121.216666666667,-5.61666666666667,33.8374215827116,30.3909150866573,13,212
27338437,3638,2869,121.25,-5.61666666666667,33.9838582173258,31.2966172904578,13,212
27338438,3639,2869,121.283333333333,-5.61666666666667,34.161898639672,32.0081373280916,13,212
27338439,3640,2869,121.316666666667,-5.61666666666667,34.5727774881345,32.771480414484,13,212
27338440,3641,2869,121.35,-5.61666666666667,35.2587362370463,33.7054533440297,13,212
27338441,3642,2869,121.383333333333,-5.61666666666667,36.2230639112222,34.8384158941005,13,212
27338442,3643,2869,121.416666666667,-5.61666666666667,37.3553112092933,36.1977265656903,13,212
27338443,3644,2869,121.45,-5.61666666666667,38.7287820092195,37.8541081144473,13,212
27338444,3645,2869,121.483333333333,-5.61666666666667,40.6658115319275,39.9283949703469,13,212
27338445,3646,2869,121.516666666667,-5.61666666666667,43.398151921803,42.5602497352704,13,212
27338446,3647,2869,121.55,-5.61666666666667,47.2054234004381,46.1022122156456,13,212
27338447,3648,2869,121.583333333333,-5.61666666666667,52.6765186469285,50.862751232166,13,212
27338448,3649,2869,121.616666666667,-5.61666666666667,59.910264847252,56.57330977283,13,212
27338449,3650,2869,121.65,-5.61666666666667,68.2468538419839,62.7181580094903,13,212
27349202,3603,2868,120.083333333333,-5.58333333333333,-15.0404639298825,-16.7364939949763,13,212
27349203,3604,2868,120.116666666667,-5.58333333333333,-16.0122914378673,-17.5769011403003,13,212
27349204,3605,2868,120.15,-5.58333333333333,-19.3049549520733,-19.6990955470712,13,212
27349205,3606,2868,120.183333333333,-5.58333333333333,-24.3496304448246,-22.9202087009927,13,212
27349206,3607,2868,120.216666666667,-5.58333333333333,-30.0577498305905,-26.8577269760032,13,212
27349207,3608,2868,120.25,-5.58333333333333,-35.7660093712974,-31.2267469889666,13,212
27349208,3609,2868,120.283333333333,-5.58333333333333,-41.6060507550237,-35.7939650183041,13,212
27349209,3610,2868,120.316666666667,-5.58333333333333,-47.5203209469308,-40.2889561964941,13,212
27349210,3611,2868,120.35,-5.58333333333333,-52.8892062421345,-44.3900073352324,13,212
27349211,3612,2868,120.383333333333,-5.58333333333333,-57.5219833732151,-47.632147331059,13,212
27349212,3613,2868,120.416666666667,-5.58333333333333,-60.7449012159085,-49.5510451292835,13,212
27349213,3614,2868,120.45,-5.58333333333333,-61.9625738165519,-50.1321106392524,13,212
27349214,3615,2868,120.483333333333,-5.58333333333333,-61.7339887234509,-49.7039858014154,13,212
27349215,3616,2868,120.516666666667,-5.58333333333333,-60.7270872428456,-48.4459368088242,13,212
27349216,3617,2868,120.55,-5.58333333333333,-59.0474767722345,-46.3074868814899,13,212
27349217,3618,2868,120.583333333333,-5.58333333333333,-56.5410962953571,-43.1053411785371,13,212
27349218,3619,2868,120.616666666667,-5.58333333333333,-52.2434061005944,-38.5744300339393,13,212
27349219,3620,2868,120.65,-5.58333333333333,-45.0843233362219,-32.6985806465902,13,212
27349220,3621,2868,120.683333333333,-5.58333333333333,-35.7946380544857,-25.9609426812397,13,212
27349221,3622,2868,120.716666666667,-5.58333333333333,-26.2021424493865,-18.9774454960514,13,212
27349222,3623,2868,120.75,-5.58333333333333,-17.1058087551568,-12.1547636898823,13,212
27349223,3624,2868,120.783333333333,-5.58333333333333,-8.61263438149677,-5.86248386249442,13,212
27349224,3625,2868,120.816666666667,-5.58333333333333,-1.24479151867,-0.3429712224727,13,212
27349225,3626,2868,120.85,-5.58333333333333,4.9667939171677,4.7581099960673,13,212
27349226,3627,2868,120.883333333333,-5.58333333333333,10.1124676029277,9.4339420808081,13,212
27349227,3628,2868,120.916666666667,-5.58333333333333,13.2730555965733,12.4837603447239,13,212
27349228,3629,2868,120.95,-5.58333333333333,14.5367895044308,13.7051805917955,13,212
27349229,3630,2868,120.983333333333,-5.58333333333333,15.9887660212521,14.9097249296528,13,212
27349230,3631,2868,121.016666666667,-5.58333333333333,18.6632843847636,17.154152132364,13,212
27349231,3632,2868,121.05,-5.58333333333333,21.5484604845388,19.6583315614884,13,212
27349232,3633,2868,121.083333333333,-5.58333333333333,24.0231791661637,21.7886447960958,13,212
27349233,3634,2868,121.116666666667,-5.58333333333333,26.3371216917715,23.6921404645696,13,212
27349234,3635,2868,121.15,-5.58333333333333,28.3909714963836,25.451475604692,13,212
27349235,3636,2868,121.183333333333,-5.58333333333333,30.1617836972641,27.0322665622985,13,212
27349236,3637,2868,121.216666666667,-5.58333333333333,31.4680980626925,28.4077349805436,13,212
